epoch,phase,source_best_epoch,total_loss,data_loss,ode_loss,ic_loss,forcing_loss,smooth_loss,d_smooth_loss,weighted_data_loss,weighted_ode_loss,weighted_ic_loss,weighted_forcing_loss,weighted_smooth_loss,weighted_d_smooth_loss,train_R2,all_R2,test_R2,optimizer_loss_before_step,summary_train_R2,summary_RMSE,summary_MAE
550,train,,0.015701860189437866,0.010928519070148468,94.88585662841797,0.0002759039925877005,0.014309722930192947,2.7973843316431157e-05,9.459452849114314e-05,0.010928519070148468,0.004744292702525854,2.759040035016369e-05,1.4309722473626607e-06,2.797384546227022e-08,4.72972605525257e-10,0.8707991641914854,0.8707991641914854,,0.015704162418842316,,,
575,train,,0.01584390364587307,0.011341579258441925,89.5041732788086,0.00025852068210951984,0.012427935376763344,2.2617605281993747e-05,8.924488065531477e-05,0.011341579258441925,0.004475208465009928,2.5852068574749865e-05,1.2427934734660084e-06,2.261760556621084e-08,4.462243907710217e-10,0.8707182527125348,0.8707182527125348,,0.015759754925966263,,,
600,train,,0.015766402706503868,0.010886532254517078,96.86774444580078,0.0003535102878231555,0.01114733051508665,1.8998514860868454e-05,9.649346611695364e-05,0.010886532254517078,0.00484338728711009,3.5351029509911314e-05,1.114732981477573e-06,1.899851653774931e-08,4.824673438541538e-10,0.8689777900143428,0.8689777900143428,,0.015766587108373642,,,
625,train,,0.015689048916101456,0.010876056738197803,95.68949890136719,0.0002744199591688812,0.010583316907286644,1.7325310182059184e-05,9.542311454424635e-05,0.010876056738197803,0.004784474615007639,2.7441996280686e-05,1.0583316907286644e-06,1.7325310963656193e-08,4.771155692750995e-10,0.8713078323135974,0.8713078323135974,,0.01569349505007267,,,
650,train,,0.015677958726882935,0.010897267609834671,95.10504913330078,0.0002440555253997445,0.010148548521101475,1.6267687897197902e-05,9.488771320320666e-05,0.010897267609834671,0.004755252506583929,2.4405553631368093e-05,1.0148547744393e-06,1.6267689417759357e-08,4.74438544006972e-10,0.8712047671606293,0.8712047671606293,,0.015677105635404587,,,
675,train,,0.015873583033680916,0.011305257678031921,90.53365325927734,0.0004066667170263827,0.009607664309442043,1.5159806025621947e-05,9.03213513083756e-05,0.011305257678031921,0.004526682663708925,4.066667315782979e-05,9.607664424038376e-07,1.515980763144853e-08,4.516067519944045e-10,0.8651051310113188,0.8651051310113188,,0.015755044296383858,,,
700,train,,0.01568765565752983,0.010867618024349213,95.83572387695312,0.0002733785950113088,0.009009758941829205,1.3834286619385239e-05,9.568494715495035e-05,0.010867618024349213,0.004791785962879658,2.7337859137332998e-05,9.009758628053532e-07,1.3834287493352804e-08,4.784247442657374e-10,0.8717159401112977,0.8717159401112977,,0.01568763703107834,,,
725,train,,0.015841539949178696,0.01078138779848814,100.7181396484375,0.000234100894886069,0.008227098733186722,1.1978445400018245e-05,0.00010059323540190235,0.01078138779848814,0.005035907030105591,2.341008985240478e-05,8.227098646784725e-07,1.197844579081675e-08,5.029661687139253e-10,0.8696021084371143,0.8696021084371143,,0.015752989798784256,,,
750,train,,0.015746349468827248,0.011124659329652786,91.75040435791016,0.00033396793878637254,0.007626472506672144,1.0439997822686564e-05,9.147279342869297e-05,0.011124659329652786,0.0045875199139118195,3.3396794606233016e-05,7.626472324773204e-07,1.0439998199274214e-08,4.573639522664763e-10,0.868630488880898,0.868630488880898,,0.01579543948173523,,,
775,train,,0.015675874426960945,0.01089447271078825,95.10778045654297,0.000252532830927521,0.007487520109862089,9.859990313998424e-06,9.49453969951719e-05,0.01089447271078825,0.00475538894534111,2.525328272895422e-05,7.487519724236336e-07,9.859991045857441e-09,4.747269799487697e-10,0.8709958898373612,0.8709958898373612,,0.01568138413131237,,,
800,train,,0.015658831223845482,0.010920659638941288,94.30001068115234,0.000224175353650935,0.007453444413840771,9.726933058118448e-06,9.41775506362319e-05,0.010920659638941288,0.004715000279247761,2.241753645648714e-05,7.453444368366036e-07,9.726933924980585e-09,4.708877177073134e-10,0.8711244160830924,0.8711244160830924,,0.015658631920814514,,,
825,train,,0.015787379816174507,0.011075797490775585,93.41981506347656,0.0003985660441685468,0.0072638969868421555,9.403829608345404e-06,9.330370812676847e-05,0.011075797490775585,0.004670990630984306,3.985660441685468e-05,7.26389657756954e-07,9.403829714926815e-09,4.665185460162036e-10,0.8654834249281351,0.8654834249281351,,0.015787722542881966,,,
850,train,,0.01566365361213684,0.010905847884714603,94.60506439208984,0.0002684607752598822,0.006967057008296251,8.894634447642602e-06,9.453186794416979e-05,0.010905847884714603,0.004730253014713526,2.684607716219034e-05,6.967056833673269e-07,8.894635250555893e-09,4.726593005877078e-10,0.8713077407719731,0.8713077407719731,,0.015698572620749474,,,
875,train,,0.015650270506739616,0.01086643896996975,95.22135925292969,0.00022106128744781017,0.006493947468698025,7.964795258885715e-06,9.516924183117226e-05,0.01086643896996975,0.004761067684739828,2.2106129108578898e-05,6.493947353192198e-07,7.964795933901314e-09,4.758461957798943e-10,0.8710605068937008,0.8710605068937008,,0.015651144087314606,,,
900,train,,0.017273468896746635,0.01158201601356268,113.32061004638672,0.00024812674382701516,0.006030922755599022,7.002763140917523e-06,0.000113266272819601,0.01158201601356268,0.005666030570864677,2.4812674382701516e-05,6.030922463651223e-07,7.002763258157074e-09,5.663313706882889e-10,0.8605128839377029,0.8605128839377029,,0.01799645461142063,,,
925,train,,0.015678970143198967,0.010862539522349834,95.77693176269531,0.0002700060431379825,0.005780076142400503,6.384709195117466e-06,9.568039968144149e-05,0.010862539522349834,0.004788846243172884,2.7000603950000368e-05,5.780075866823609e-07,6.384709649864817e-09,4.784019846937326e-10,0.8713907443057594,0.8713907443057594,,0.0157044418156147,,,
950,train,,0.015646187588572502,0.01086530089378357,95.16846466064453,0.00021877378458157182,0.005803941283375025,6.245564236451173e-06,9.512435644865036e-05,0.01086530089378357,0.0047584231942892075,2.1877378458157182e-05,5.80394100779813e-07,6.2455645100101265e-09,4.756217641954663e-10,0.8709502385823873,0.8709502385823873,,0.01564629189670086,,,
975,train,,0.015911931172013283,0.010866120457649231,100.49700927734375,0.0002037115627899766,0.0058279866352677345,6.247518740565283e-06,0.00010047441173810512,0.010866120457649231,0.005024850368499756,2.037115700659342e-05,5.827986342410441e-07,6.247518946622677e-09,5.023720328622971e-10,0.871688155210266,0.871688155210266,,0.015789829194545746,,,
